date,disease,state,district,taluk,latitude,longitude,outbreak_label,predicted_outbreak,outbreak_probability,outbreak_intensity,weight
2020-07-06,acute_diarrheal_disease,Kerala,Ernakulam,Kochi,9.9312,76.2673,1,0,0.462135992749438,0.0,0.0
2020-09-11,acute_diarrheal_disease,Kerala,Ernakulam,Kochi,9.9312,76.2673,1,0,0.4050488857779057,0.0194319293745078,0.0194319293745078
2022-12-28,acute_diarrheal_disease,Kerala,Ernakulam,Kochi,9.9312,76.2673,0,0,0.1963553794456797,0.0,0.0
2022-12-30,acute_diarrheal_disease,Kerala,Ernakulam,Kochi,9.9312,76.2673,0,0,0.215590941489525,2.179026779902434e-06,2.179026779902434e-06
2023-07-07,acute_diarrheal_disease,Kerala,Ernakulam,Kochi,9.9312,76.2673,1,1,0.6854611697081981,6.365051909715011e-05,6.365051909715011e-05
2023-12-27,acute_diarrheal_disease,Kerala,Ernakulam,Kochi,9.9312,76.2673,0,1,0.7209441293980258,0.042643256857449,0.042643256857449
2024-01-02,acute_diarrheal_disease,Kerala,Ernakulam,Kochi,9.9312,76.2673,0,1,0.5651260623359354,0.0,0.0
2020-01-04,acute_diarrheal_disease,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,1,0,0.2301760439499346,0.0,0.0
2020-10-16,acute_diarrheal_disease,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,0,1,0.5232878001218306,0.0009839398679112,0.0009839398679112
2020-12-30,acute_diarrheal_disease,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,0,0,0.4006938690873194,0.0,0.0
2022-10-17,acute_diarrheal_disease,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,0,1,0.7088928286486462,0.0,0.0
2023-10-15,acute_diarrheal_disease,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,1,0,0.0968359446144042,4.031199542819508e-05,4.031199542819508e-05
2024-02-04,acute_diarrheal_disease,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,1,1,0.7096147002189332,0.1267924654913341,0.1267924654913341
