date,disease,state,affected_district_count,affected_taluk_count,aggregate_intensity,maximum_intensity
2020-06-06,dengue,Kerala,2,3,0.0,0.0
2020-06-06,leptospirosis_probable,Kerala,2,2,0.0,0.0
2020-06-06,measles,Kerala,1,1,0.0,0.0
2020-06-07,hepatitis_b,Kerala,2,2,0.0,0.0
2020-06-08,hepatitis_b,Kerala,3,3,0.2488642751701248,0.2488642751701248
2020-06-08,malaria,Kerala,2,2,0.0,0.0
2020-06-09,hepatitis_b,Kerala,3,4,0.0,0.0
2020-06-09,malaria,Kerala,1,1,0.0,0.0
2020-06-10,hepatitis_b,Kerala,4,5,0.0012873564928459,0.0012873564928459
2020-06-10,malaria,Kerala,1,1,0.0,0.0
2020-06-11,hepatitis_b,Kerala,3,3,0.0,0.0
2020-06-12,hepatitis_b,Kerala,3,3,0.0,0.0
2020-07-06,acute_diarrheal_disease,Kerala,1,1,0.0,0.0
2020-07-06,dengue,Kerala,2,2,0.0,0.0
2020-07-06,hepatitis_c,Kerala,1,1,0.0,0.0
2020-07-06,leptospirosis_probable,Kerala,1,1,0.0,0.0
2020-07-06,scrub_typhus,Kerala,3,3,0.0,0.0
2020-07-07,acute_diarrheal_disease,Kerala,1,1,0.0,0.0
2020-07-07,hepatitis_c,Kerala,3,3,0.0,0.0
2020-07-07,leptospirosis_probable,Kerala,4,4,1.6124798171278027e-05,1.6124798171278027e-05
2020-07-07,scrub_typhus,Kerala,1,1,0.0,0.0
2020-07-08,dengue,Kerala,3,3,0.0,0.0
2020-07-08,fever_ip,Kerala,3,3,0.0,0.0
2020-07-08,hepatitis_a_confirmed,Kerala,4,4,0.0002381106347815,0.0002381106347815
2020-07-08,hepatitis_c,Kerala,2,3,0.0,0.0
2020-07-08,leptospirosis_confirmed,Kerala,2,2,0.0,0.0
2020-07-08,leptospirosis_probable,Kerala,2,2,0.0538899318481054,0.0538899318481054
2020-07-09,fever_ip,Kerala,2,2,0.0,0.0
2020-07-09,fever_op,Kerala,1,1,0.0,0.0
2020-07-09,hepatitis_a_confirmed,Kerala,2,2,0.0,0.0
2020-07-09,leptospirosis_confirmed,Kerala,2,2,0.0,0.0
2020-07-10,fever_ip,Kerala,2,2,0.0,0.0
2020-07-10,fever_op,Kerala,4,4,0.5072484850532498,0.5072484850532498
2020-07-10,hepatitis_a_confirmed,Kerala,4,4,0.0,0.0
2020-07-11,fever_ip,Kerala,1,1,0.0004474975398778,0.0004474975398778
2020-07-11,fever_op,Kerala,2,4,0.0,0.0
2020-07-11,hepatitis_a_confirmed,Kerala,2,2,0.0,0.0
2020-07-12,hepatitis_a_confirmed,Kerala,1,1,0.0,0.0
2020-07-13,hepatitis_a_confirmed,Kerala,2,2,0.0,0.0
2020-08-07,chicken_pox,Kerala,4,4,0.0002227128419499,0.0002227128419499
2020-08-07,scrub_typhus,Kerala,1,2,0.0,0.0
2020-08-08,acute_diarrheal_disease,Kerala,2,2,0.0,0.0
2020-08-08,chicken_pox,Kerala,2,2,0.0,0.0
2020-08-08,dengue,Kerala,3,3,0.0,0.0
2020-08-08,scrub_typhus,Kerala,1,1,0.0,0.0
2020-08-09,acute_diarrheal_disease,Kerala,1,1,0.036919912725183,0.036919912725183
2020-08-09,chicken_pox,Kerala,1,2,0.0,0.0
2020-08-09,dengue,Kerala,4,4,0.0,0.0
2020-08-10,dengue,Kerala,4,5,0.0002699678920971,0.0002699678920971
2020-08-11,dengue,Kerala,2,2,0.0267315003885196,0.0267315003885196
2020-08-11,fever_ip,Kerala,2,2,0.0,0.0
2020-08-11,malaria,Kerala,3,3,0.0,0.0
2020-08-12,acute_encephalitis_syndrome,Kerala,1,1,0.0,0.0
2020-08-12,fever_ip,Kerala,1,1,0.0,0.0
2020-08-12,fever_op,Kerala,1,1,0.0,0.0
2020-08-12,malaria,Kerala,2,2,0.0,0.0
2020-08-13,acute_encephalitis_syndrome,Kerala,2,2,0.0,0.0
2020-08-13,fever_ip,Kerala,1,1,0.0,0.0
2020-08-13,fever_op,Kerala,2,2,0.0,0.0
2020-08-14,acute_encephalitis_syndrome,Kerala,1,1,0.0,0.0
2020-08-14,fever_ip,Kerala,2,2,0.0,0.0
2020-08-14,fever_op,Kerala,3,3,0.0,0.0
2020-08-14,hepatitis_a_confirmed,Kerala,2,2,0.007962249591857196,0.007921937596429
2020-08-15,fever_op,Kerala,1,1,0.0,0.0
2020-08-15,hepatitis_a_confirmed,Kerala,4,4,0.0777845236652979,0.0777845236652979
2020-09-08,leptospirosis_probable,Kerala,2,2,0.0,0.0
2020-09-09,acute_diarrheal_disease,Kerala,2,2,0.0,0.0
2020-09-09,hepatitis_a_probable,Kerala,1,2,0.0022233661655586003,0.0020818230100759
2020-09-09,leptospirosis_confirmed,Kerala,1,1,0.0,0.0
2020-09-09,leptospirosis_probable,Kerala,1,1,0.0,0.0
2020-09-09,scrub_typhus,Kerala,4,4,0.0,0.0
2020-09-09,typhoid,Kerala,2,2,0.0,0.0
2020-09-10,acute_diarrheal_disease,Kerala,1,1,0.0,0.0
2020-09-10,chicken_pox,Kerala,3,3,0.0,0.0
2020-09-10,hepatitis_a_probable,Kerala,3,3,0.0,0.0
2020-09-10,hepatitis_c,Kerala,1,1,0.0,0.0
2020-09-10,leptospirosis_confirmed,Kerala,2,2,0.0,0.0
2020-09-10,leptospirosis_probable,Kerala,3,3,0.0,0.0
2020-09-10,scrub_typhus,Kerala,2,2,0.0,0.0
2020-09-10,typhoid,Kerala,1,1,0.0,0.0
2020-09-11,acute_diarrheal_disease,Kerala,3,4,0.0194319293745078,0.0194319293745078
2020-09-11,chicken_pox,Kerala,4,4,0.0,0.0
2020-09-11,dengue,Kerala,6,7,0.0272196037882527,0.0191470511858459
2020-09-11,hepatitis_a_probable,Kerala,4,4,0.0,0.0
2020-09-11,hepatitis_c,Kerala,3,3,0.0,0.0
2020-09-11,leptospirosis_probable,Kerala,1,1,0.0,0.0
2020-09-11,measles,Kerala,1,1,0.0,0.0
2020-09-11,scrub_typhus,Kerala,1,1,0.0,0.0
2020-09-12,acute_diarrheal_disease,Kerala,2,2,0.0,0.0
2020-09-12,chicken_pox,Kerala,2,2,0.0009255678755073,0.0009255678755073
2020-09-12,dengue,Kerala,3,3,0.0,0.0
2020-09-12,hepatitis_c,Kerala,3,3,0.0,0.0
2020-09-12,leptospirosis_confirmed,Kerala,4,5,0.0017927637586109,0.0017927637586109
2020-09-12,leptospirosis_probable,Kerala,3,3,0.0,0.0
2020-09-12,typhoid,Kerala,1,1,0.0,0.0
2020-09-13,chicken_pox,Kerala,2,2,0.0128198156012219,0.0128198156012219
2020-09-13,dengue,Kerala,5,6,0.8011485516636186,0.8001228051295249
2020-09-13,hepatitis_c,Kerala,1,1,0.0,0.0
2020-09-13,leptospirosis_confirmed,Kerala,2,3,0.2281758951659326,0.2281758951659326
2020-09-13,leptospirosis_probable,Kerala,2,2,0.0,0.0
2020-09-13,malaria,Kerala,3,3,0.0,0.0
2020-09-14,chicken_pox,Kerala,2,2,0.009198920357606201,0.0079425989270287
2020-09-14,dengue,Kerala,4,4,0.0058841292052872,0.0058841292052872
2020-09-14,fever_ip,Kerala,3,3,0.0001612479817127,0.0001612479817127
2020-09-14,leptospirosis_confirmed,Kerala,4,5,0.0,0.0
2020-09-14,leptospirosis_probable,Kerala,2,2,0.0,0.0
2020-09-14,malaria,Kerala,3,3,0.0,0.0
2020-09-15,chicken_pox,Kerala,3,3,0.0,0.0
2020-09-15,dengue,Kerala,1,1,0.0,0.0
2020-09-15,fever_ip,Kerala,2,2,0.0,0.0
2020-09-15,fever_op,Kerala,1,1,0.0005781305887357,0.0005781305887357
2020-09-15,hepatitis_a_confirmed,Kerala,1,1,0.0,0.0
2020-09-15,leptospirosis_confirmed,Kerala,1,1,0.0,0.0
2020-09-15,leptospirosis_probable,Kerala,1,1,0.0019668006938926,0.0019668006938926
2020-09-16,chicken_pox,Kerala,1,1,0.0,0.0
2020-09-16,fever_ip,Kerala,3,3,0.0003833630701882,0.0003833630701882
2020-09-16,fever_op,Kerala,1,1,0.0,0.0
2020-09-17,chicken_pox,Kerala,3,3,0.0,0.0
2020-09-17,fever_ip,Kerala,2,2,0.0,0.0
2020-09-17,hepatitis_a_confirmed,Kerala,2,2,0.0,0.0
2020-09-18,chicken_pox,Kerala,6,7,0.0006148009185609706,0.0005795279225613
2020-09-18,fever_ip,Kerala,2,3,0.0031880495696214,0.0031880495696214
2020-09-18,hepatitis_a_confirmed,Kerala,1,1,0.0,0.0
2020-09-19,fever_ip,Kerala,4,4,0.0,0.0
2020-09-19,hepatitis_a_confirmed,Kerala,2,2,4.031199542819508e-05,4.031199542819508e-05
2020-09-20,fever_ip,Kerala,4,4,0.0327045977519241,0.0327045977519241
2020-09-21,fever_ip,Kerala,4,4,0.0,0.0
2020-09-22,fever_ip,Kerala,2,2,0.0,0.0
2020-09-23,fever_ip,Kerala,1,1,0.0,0.0
2020-09-26,chikungunya,Kerala,1,1,0.0,0.0
2020-09-29,chikungunya,Kerala,1,1,0.0,0.0
2020-09-30,chikungunya,Kerala,1,1,0.0011783301938107,0.0011783301938107
2020-10-04,influenza_h1n1_seasonal,Kerala,2,2,0.0,0.0
2020-10-12,hepatitis_a_probable,Kerala,1,1,0.0,0.0
2020-10-13,hepatitis_a_probable,Kerala,2,2,1.0022444200304716,0.9999999983333334
2020-10-13,hepatitis_b,Kerala,1,1,0.0,0.0
2020-10-14,acute_diarrheal_disease,Kerala,4,5,0.014884892745407101,0.0136887841502626
2020-10-14,hepatitis_b,Kerala,1,1,0.0,0.0
2020-10-14,scrub_typhus,Kerala,3,3,0.0057905512176895,0.0057905512176895
2020-10-15,acute_diarrheal_disease,Kerala,5,5,0.0,0.0
2020-10-15,dengue,Kerala,3,3,0.0,0.0
2020-10-15,hepatitis_a_probable,Kerala,4,4,0.0,0.0
2020-10-15,hepatitis_c,Kerala,2,2,0.0,0.0
2020-10-15,malaria,Kerala,1,1,0.0,0.0
2020-10-15,scrub_typhus,Kerala,1,1,0.0,0.0
2020-10-16,acute_diarrheal_disease,Kerala,2,2,0.0274458322928642,0.026461892424953
2020-10-16,dengue,Kerala,7,8,0.0167729058961353,0.0105776178556282
2020-10-16,hepatitis_a_probable,Kerala,1,2,0.0007092877532181,0.0007092877532181
2020-10-16,hepatitis_b,Kerala,5,5,0.0,0.0
2020-10-16,hepatitis_c,Kerala,4,5,1.0461432720986468,0.9999999983333334
2020-10-16,leptospirosis_probable,Kerala,3,3,0.0008491358861279,0.0008491358861279
2020-10-16,scrub_typhus,Kerala,1,1,0.0,0.0
2020-10-17,acute_diarrheal_disease,Kerala,2,3,0.0011943374387785,0.0011943374387785
2020-10-17,dengue,Kerala,4,5,0.0002821839679973,0.0002821839679973
2020-10-17,hepatitis_a_probable,Kerala,5,5,0.0003224959634255,0.0003224959634255
2020-10-17,hepatitis_b,Kerala,1,1,0.0001033066529982,0.0001033066529982
2020-10-17,hepatitis_c,Kerala,3,3,0.0,0.0
2020-10-17,leptospirosis_confirmed,Kerala,4,4,0.0651033892035797,0.0386414967786267
2020-10-17,leptospirosis_probable,Kerala,2,2,0.013925122119107,0.013925122119107
2020-10-17,malaria,Kerala,3,3,0.0,0.0
2020-10-17,scrub_typhus,Kerala,2,2,0.0,0.0
2020-10-18,dengue,Kerala,1,1,0.0,0.0
2020-10-18,fever_op,Kerala,4,4,0.8408737220146316,0.8408737220146316
2020-10-18,hepatitis_a_probable,Kerala,4,5,0.0,0.0
