cluster_id,disease,date,state,district,taluk,latitude,longitude,outbreak_intensity
39,acute_diarrheal_disease,2021-01-03,Kerala,Ernakulam,Kanayannur,9.98408,76.2741457,0.0
40,acute_diarrheal_disease,2020-12-28,Kerala,Palakkad,Palakkad,10.78789845,76.47408711,0.0
40,acute_diarrheal_disease,2021-01-02,Kerala,Palakkad,Alathur,10.6333,76.55,0.0029612356700996
41,acute_diarrheal_disease,2020-12-28,Kerala,Kottayam,Meenachil,9.7167,76.6833,0.0011943374387785
42,acute_diarrheal_disease,2020-12-28,Kerala,Kozhikode,Kozhikode,11.2450558,75.7754716,0.0138739741254935
42,acute_diarrheal_disease,2020-12-31,Kerala,Malappuram,Kondotty,11.15,75.9667,0.0
43,acute_diarrheal_disease,2020-12-28,Kerala,Idukki,Devikulam,10.0667,77.1,0.0009168109918226
44,acute_diarrheal_disease,2020-12-31,Kerala,Pathanamthitta,Adoor,9.1667,76.7333,0.0
45,acute_diarrheal_disease,2021-01-01,Kerala,Thiruvananthapuram,Neyyattinkara,8.4004,77.0872,0.0002284346407597
46,acute_diarrheal_disease,2021-01-02,Kerala,Kannur,Iritty,11.9333,75.7,0.0
47,acute_diarrheal_disease,2021-01-04,Kerala,Malappuram,Tirur,10.9167,75.9167,0.0
48,acute_diarrheal_disease,2021-02-04,Kerala,Kozhikode,Kozhikode,11.2450558,75.7754716,0.0148895703023964
49,acute_diarrheal_disease,2021-02-05,Kerala,Thiruvananthapuram,Nedumangad,8.6036,77.0031,0.0202609092629217
50,acute_diarrheal_disease,2021-02-05,Kerala,Malappuram,Ernad,11.1201,76.1197,0.0
51,acute_diarrheal_disease,2021-07-06,Kerala,Palakkad,Alathur,10.6333,76.55,0.0
52,acute_diarrheal_disease,2021-07-06,Kerala,Ernakulam,Kanayannur,9.98408,76.2741457,0.0013749144814516
53,acute_diarrheal_disease,2021-07-07,Kerala,Thiruvananthapuram,Nedumangad,8.6036,77.0031,0.0
54,acute_diarrheal_disease,2021-07-07,Kerala,Alappuzha,Karthikappally,9.2833,76.4667,0.0
55,acute_diarrheal_disease,2021-08-08,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0.0
56,acute_diarrheal_disease,2021-08-08,Kerala,Kasaragod,Hosdurg,12.3167,75.1,0.0
57,acute_diarrheal_disease,2021-08-08,Kerala,Idukki,Thodupuzha,9.8955,76.7241,0.0
58,acute_diarrheal_disease,2021-09-08,Kerala,Kottayam,Changanassery,9.45,76.5333,0.0
58,acute_diarrheal_disease,2021-09-10,Kerala,Kottayam,Changanassery,9.45,76.5333,0.0
59,acute_diarrheal_disease,2021-09-09,Kerala,Kottayam,Meenachil,9.7167,76.6833,0.053373505219053
60,acute_diarrheal_disease,2021-09-09,Kerala,Palakkad,Pattambi,10.8,76.2,0.0
60,acute_diarrheal_disease,2021-09-12,Kerala,Thrissur,Talappilly,10.6667,76.25,0.0
61,acute_diarrheal_disease,2021-09-10,Kerala,Kollam,Kottarakkara,9.0002,76.7788,0.0
62,acute_diarrheal_disease,2021-10-13,Kerala,Kottayam,Vaikom,9.75,76.4,0.0
62,acute_diarrheal_disease,2021-10-18,Kerala,Alappuzha,Cherthala,9.6833,76.3333,0.0
63,acute_diarrheal_disease,2021-10-14,Kerala,Malappuram,Tirur,10.9167,75.9167,0.0084439040897712
63,acute_diarrheal_disease,2021-10-16,Kerala,Malappuram,Tirurangadi,11.0,75.9333,2.951618657093096e-05
64,acute_diarrheal_disease,2021-10-15,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0.0
65,acute_diarrheal_disease,2021-10-15,Kerala,Pathanamthitta,Adoor,9.1667,76.7333,0.0
65,acute_diarrheal_disease,2021-10-15,Kerala,Kollam,Pathanapuram,9.1,76.87,0.0
66,acute_diarrheal_disease,2021-10-15,Kerala,Ernakulam,North Paravur,10.1333,76.2,0.0
67,acute_diarrheal_disease,2021-10-17,Kerala,Kozhikode,Koyilandy,11.4333,75.7,0.0
68,acute_diarrheal_disease,2021-11-18,Kerala,Kasaragod,Kasaragod,12.5035577,74.9907022,0.0
69,acute_diarrheal_disease,2021-11-18,Kerala,Palakkad,Alathur,10.6333,76.55,4.031199542819508e-05
70,acute_diarrheal_disease,2021-11-19,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0.0
71,acute_diarrheal_disease,2021-11-19,Kerala,Alappuzha,Mavelikkara,9.2667,76.55,0.0043837738079498
71,acute_diarrheal_disease,2021-11-21,Kerala,Kollam,Karunagappally,9.0574,76.5334,0.0001612479817127
72,acute_diarrheal_disease,2021-11-20,Kerala,Malappuram,Tirur,10.9167,75.9167,0.0187890989323544
73,acute_diarrheal_disease,2021-11-22,Kerala,Kozhikode,Koyilandy,11.4333,75.7,0.0
73,acute_diarrheal_disease,2021-11-23,Kerala,Kozhikode,Kozhikode,11.2450558,75.7754716,2.1341644638456213e-05
74,acute_diarrheal_disease,2021-11-22,Kerala,Malappuram,Nilambur,11.2833,76.2333,0.0004111306112545
75,acute_diarrheal_disease,2021-11-23,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,0.003680019503577
76,acute_diarrheal_disease,2021-11-23,Kerala,Ernakulam,North Paravur,10.1333,76.2,0.0504143545609719
76,acute_diarrheal_disease,2021-11-24,Kerala,Ernakulam,North Paravur,10.1333,76.2,0.0442478138968194
76,acute_diarrheal_disease,2021-11-24,Kerala,Thrissur,Kodungallur,10.2333,76.2,0.0022068968448787
77,acute_diarrheal_disease,2021-12-25,Kerala,Idukki,Peerumade,9.5667,76.9667,0.0
77,acute_diarrheal_disease,2021-12-31,Kerala,Kottayam,Meenachil,9.7167,76.6833,0.0
77,acute_diarrheal_disease,2022-01-02,Kerala,Kottayam,Kanjirappally,9.5667,76.7833,0.0
77,acute_diarrheal_disease,2022-01-03,Kerala,Idukki,Peerumade,9.5667,76.9667,0.0
78,acute_diarrheal_disease,2021-12-26,Kerala,Kasaragod,Hosdurg,12.3167,75.1,0.0
78,acute_diarrheal_disease,2021-12-29,Kerala,Kasaragod,Hosdurg,12.3167,75.1,0.0055229852107529
79,acute_diarrheal_disease,2021-12-27,Kerala,Thiruvananthapuram,Chirayinkeezhu,8.6963,76.8153,0.0
79,acute_diarrheal_disease,2021-12-28,Kerala,Thiruvananthapuram,Nedumangad,8.6036,77.0031,0.0005643679359947
79,acute_diarrheal_disease,2021-12-28,Kerala,Thiruvananthapuram,Thiruvananthapuram,8.4882267,76.947551,0.0
80,acute_diarrheal_disease,2021-12-27,Kerala,Malappuram,Kondotty,11.15,75.9667,0.0
80,acute_diarrheal_disease,2021-12-31,Kerala,Malappuram,Nilambur,11.2833,76.2333,0.0008728655744956
80,acute_diarrheal_disease,2022-01-01,Kerala,Malappuram,Ernad,11.1201,76.1197,0.0537134292890569
81,acute_diarrheal_disease,2021-12-28,Kerala,Alappuzha,Cherthala,9.6833,76.3333,0.0
81,acute_diarrheal_disease,2021-12-29,Kerala,Alappuzha,Kuttanad,9.5833,76.4167,0.0
82,acute_diarrheal_disease,2021-12-29,Kerala,Palakkad,Alathur,10.6333,76.55,0.0
83,acute_diarrheal_disease,2022-01-04,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,0.0
84,acute_diarrheal_disease,2022-02-04,Kerala,Kannur,Thalassery,11.75,75.4833,0.0008356985543185
85,acute_diarrheal_disease,2022-07-06,Kerala,Idukki,Devikulam,10.0667,77.1,0.0024974736457191
86,acute_diarrheal_disease,2022-07-06,Kerala,Ernakulam,Kanayannur,9.98408,76.2741457,0.0001131337773136
87,acute_diarrheal_disease,2022-07-07,Kerala,Kasaragod,Manjeshwaram,12.7167,74.8833,0.1251170993796789
88,acute_diarrheal_disease,2022-07-07,Kerala,Kottayam,Kottayam,9.6287383,76.64553257,0.0
89,acute_diarrheal_disease,2022-07-07,Kerala,Pathanamthitta,Konni,9.2667,76.9333,0.0
90,acute_diarrheal_disease,2022-08-07,Kerala,Kannur,Kannur,11.8763836,75.3737973,0.0
91,acute_diarrheal_disease,2022-09-09,Kerala,Palakkad,Pattambi,10.8,76.2,0.0095792243364424
92,acute_diarrheal_disease,2022-09-10,Kerala,Kottayam,Kanjirappally,9.5667,76.7833,0.0
93,acute_diarrheal_disease,2022-09-10,Kerala,Kannur,Payyanur,12.1,75.2,0.0
94,acute_diarrheal_disease,2022-09-11,Kerala,Kollam,Punalur,9.0089,76.9269,0.0
95,acute_diarrheal_disease,2022-09-11,Kerala,Ernakulam,Kanayannur,9.98408,76.2741457,0.9999999983333334
96,acute_diarrheal_disease,2022-09-12,Kerala,Malappuram,Ernad,11.1201,76.1197,0.0
97,acute_diarrheal_disease,2022-10-14,Kerala,Kasaragod,Nileshwaram,12.25,75.1,0.0002096223762266
98,acute_diarrheal_disease,2022-10-14,Kerala,Kollam,Karunagappally,9.0574,76.5334,0.0
99,acute_diarrheal_disease,2022-10-15,Kerala,Kozhikode,Koyilandy,11.4333,75.7,0.0006853039222793
100,acute_diarrheal_disease,2022-10-16,Kerala,Thrissur,Kunnamkulam,10.65,76.0667,0.0023634770145291
100,acute_diarrheal_disease,2022-10-17,Kerala,Malappuram,Ponnani,10.7667,75.9167,0.0
101,acute_diarrheal_disease,2022-10-16,Kerala,Pathanamthitta,Ranni,9.3833,76.9667,0.0
102,acute_diarrheal_disease,2022-10-16,Kerala,Kasaragod,Kasaragod,12.5035577,74.9907022,0.0016192931689679
103,acute_diarrheal_disease,2022-10-17,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,0.0
103,acute_diarrheal_disease,2022-10-18,Kerala,Ernakulam,Muvattupuzha,9.9833,76.5833,0.0
104,acute_diarrheal_disease,2022-11-19,Kerala,Malappuram,Tirurangadi,11.0,75.9333,0.7408560027433414
104,acute_diarrheal_disease,2022-11-22,Kerala,Malappuram,Kondotty,11.15,75.9667,0.0017737277988405
104,acute_diarrheal_disease,2022-11-23,Kerala,Malappuram,Tirurangadi,11.0,75.9333,0.0
105,acute_diarrheal_disease,2022-11-19,Kerala,Pathanamthitta,Adoor,9.1667,76.7333,0.0007989250284021
